30/08/2016,16:44:16.082000
1
 	Служебный канал	Напряжение статора	Ток статора	Активная мощность	Реактивная мощность	Активный ток	
358	-666,7	-666,7	0,0	-574,6	0,0	0,0	
359	-670,2	-670,2	0,0	-574,6	0,0	0,0	
360	-666,7	-666,7	0,0	-574,6	0,0	0,0	
361	-673,3	-673,3	0,0	-574,6	0,0	0,0	
362	-670,2	-670,2	0,0	-574,6	0,0	0,0	
363	-666,7	-666,7	0,0	-574,6	0,0	0,0	
364	-673,0	-673,0	0,0	-574,6	0,0	0,0	
365	-666,7	-666,7	0,0	-574,6	0,0	0,0	
366	-666,7	-666,7	0,0	-574,6	0,0	0,0	
367	-666,7	-666,7	0,0	-574,6	0,0	0,0	
368	-666,7	-666,7	0,0	-574,6	0,0	0,0	
369	-670,7	-670,7	0,0	-574,6	0,0	0,0	
370	-670,2	-670,2	0,0	-574,6	0,0	0,0	
371	-666,7	-666,7	0,0	-574,6	0,0	0,0	
372	-673,8	-673,8	0,0	-574,6	0,0	0,0	
373	-670,2	-670,2	0,0	-574,6	0,0	0,0	
374	-673,9	-673,9	0,0	-574,6	0,0	0,0	
375	-673,3	-673,3	0,0	-574,6	0,0	0,0	
376	-666,7	-666,7	0,0	-574,6	0,0	0,0	
377	-666,7	-666,7	0,0	-574,6	0,0	0,0	
378	-670,2	-670,2	0,0	-574,6	0,0	0,0	
379	-669,8	-669,8	0,0	-574,6	0,0	0,0	
380	-666,7	-666,7	0,0	-574,6	0,0	0,0	
381	-663,5	-663,5	0,0	-574,6	0,0	0,0	
382	-673,8	-673,8	0,0	-574,6	0,0	0,0	
383	-666,7	-666,7	0,0	-574,6	0,0	0,0	
384	-666,7	-666,7	0,0	-574,6	0,0	0,0	
385	-670,2	-670,2	0,0	-574,6	0,0	0,0	
386	-670,3	-670,3	0,0	-574,6	0,0	0,0	
387	-670,3	-670,3	0,0	-574,6	0,0	0,0	
388	-666,7	-666,7	0,0	-574,6	0,0	0,0	
389	-666,7	-666,7	0,0	-574,6	0,0	0,0	
390	-677,4	-677,4	0,0	-574,6	0,0	0,0	
391	-666,7	-666,7	0,0	-574,6	0,0	0,0	
392	-673,0	-673,0	0,0	-574,6	0,0	0,0	
393	-666,7	-666,7	0,0	-574,6	0,0	0,0	
394	-666,7	-666,7	0,0	-574,6	0,0	0,0	
395	-666,7	-666,7	0,0	-574,6	0,0	0,0	
396	-666,7	-666,7	0,0	-574,6	0,0	0,0	
397	-666,7	-666,7	0,0	-574,6	0,0	0,0	
398	-666,7	-666,7	0,0	-574,6	0,0	0,0	
399	-666,7	-666,7	0,0	-574,6	0,0	0,0	
400	-666,7	-666,7	0,0	-574,6	0,0	0,0	
401	-666,7	-666,7	0,0	-574,6	0,0	0,0	
402	-670,2	-670,2	0,0	-574,6	0,0	0,0	
403	-666,7	-666,7	0,0	-574,6	0,0	0,0	
404	-666,7	-666,7	0,0	-574,6	0,0	0,0	
405	-666,7	-666,7	0,0	-574,6	0,0	0,0	
406	-666,7	-666,7	0,0	-574,6	0,0	0,0	
407	-666,7	-666,7	0,0	-574,6	0,0	0,0	
408	-670,2	-670,2	0,0	-574,6	0,0	0,0	
409	-666,7	-666,7	0,0	-574,6	0,0	0,0	
410	-666,7	-666,7	0,0	-574,6	0,0	0,0	
411	-666,7	-666,7	0,0	-574,6	0,0	0,0	
412	-666,7	-666,7	0,0	-574,6	0,0	0,0	
413	-669,8	-669,8	0,0	-574,6	0,0	0,0	
414	-666,7	-666,7	0,0	-574,6	0,0	0,0	
415	-666,7	-666,7	0,0	-574,6	0,0	0,0	
